month,H3N
2002.75,2294
2002.83333333333,20938
2002.91666666667,46865
2003,221326
2003.08333333333,1528254
2003.16666666667,590119
2003.25,266967
2003.33333333333,75581
2003.41666666667,20360
2003.5,30052
2003.58333333333,29055
2003.66666666667,9990
2003.75,1905149
2003.83333333333,10495142
2003.91666666667,24691471
2004,1826090
2004.08333333333,282700
2004.16666666667,48466
2004.25,23779
2004.33333333333,8393
2004.41666666667,7900
2004.5,0
2004.58333333333,24387
2004.66666666667,61693
2004.75,134772
2004.83333333333,301293
2004.91666666667,2219174
2005,5048082
2005.08333333333,11749050
2005.16666666667,2451427
2005.25,325122
2005.33333333333,130327
2005.41666666667,35639
2005.5,4082
2005.58333333333,25291
2005.66666666667,23286
2005.75,99373
2005.83333333333,273713
2005.91666666667,2897255
2006,3379151
2006.08333333333,6446780
2006.16666666667,3053624
2006.25,414219
2006.33333333333,44737
2006.41666666667,2407
2006.5,35692
2006.58333333333,0
2006.66666666667,0
2006.75,34345
2006.83333333333,27452
2006.91666666667,126139
2007,487622
2007.08333333333,2599365
2007.16666666667,1972455
2007.25,969460
2007.33333333333,377296
2007.41666666667,63984
2007.5,59697
2007.58333333333,41556
2007.66666666667,19454
2007.75,26973
2007.83333333333,91687
2007.91666666667,278607
2008,2276801
2008.08333333333,13838916
2008.16666666667,3656395
2008.25,593953
2008.33333333333,123645
2008.41666666667,28452
2008.5,16957
2008.58333333333,8183
2008.66666666667,29270
2008.75,18913
2008.83333333333,9799
2008.91666666667,138741
2009,357729
2009.08333333333,630154
2009.16666666667,346172
2009.25,484435
2009.33333333333,1458097
2009.41666666667,380241
2009.5,46641
2009.58333333333,47507
2009.66666666667,20011
2009.75,9087
2009.83333333333,3783
2009.91666666667,5599
2010,6751
2010.08333333333,761
2010.16666666667,2479
2010.25,5438
2010.33333333333,8981
2010.41666666667,14176
2010.5,41490
2010.58333333333,94117
2010.66666666667,139996
2010.75,371773
2010.83333333333,936006
2010.91666666667,4503121
2011,6524908
2011.08333333333,8313069
2011.16666666667,2142304
2011.25,455130
2011.33333333333,62671
2011.41666666667,4099
2011.5,21261
2011.58333333333,56934
2011.66666666667,80869
2011.75,119430
2011.83333333333,174886
2011.91666666667,565077
2012,826962
2012.08333333333,3325157
2012.16666666667,4400509
2012.25,2152011
2012.33333333333,1221856
2012.41666666667,365091
2012.5,241750
2012.58333333333,427861
2012.66666666667,217300
2012.75,679784
2012.83333333333,2962872
2012.91666666667,15276097
2013,15057767
2013.08333333333,5626522
2013.16666666667,1090147
2013.25,402280
2013.33333333333,196009
2013.41666666667,74307
2013.5,119709
2013.58333333333,74434
2013.66666666667,74330
2013.75,156681
2013.83333333333,127022
2013.91666666667,223047
2014,391800
2014.08333333333,438982
2014.16666666667,592070
2014.25,997748
2014.33333333333,821839
2014.41666666667,410386
2014.5,249956
2014.58333333333,288653
2014.66666666667,298709
2014.75,731963
2014.83333333333,3303000
2014.91666666667,19664091
2015,11190433
2015.08333333333,4954764
2015.16666666667,811818
2015.25,175353
2015.33333333333,94455
2015.41666666667,158447
2015.5,113670
2015.58333333333,204586
2015.66666666667,217779
2015.75,192839
2015.83333333333,141945
2015.91666666667,166035
2016,327353
2016.08333333333,1124851
2016.16666666667,951130
2016.25,521728
2016.33333333333,309047
2016.41666666667,94600
2016.5,79980
2016.58333333333,162366
2016.66666666667,221731
2016.75,326644
2016.83333333333,689556
2016.91666666667,3853153
2017,7651795
2017.08333333333,14342813
2017.16666666667,4411473
2017.25,981304
2017.33333333333,420605
2017.41666666667,226096
