Date,Thefts
01/2001,5125
02/2001,4429
03/2001,5024
04/2001,4887
05/2001,5148
06/2001,5286
07/2001,5905
08/2001,5832
09/2001,5458
10/2001,5446
11/2001,4776
12/2001,4461
01/2002,4290
02/2002,3688
03/2002,4344
04/2002,4455
05/2002,4956
06/2002,4926
07/2002,4076
08/2002,4162
09/2002,3615
10/2002,3578
11/2002,2756
12/2002,2647
01/2003,2484
02/2003,2159
03/2003,2572
04/2003,2622
05/2003,2696
06/2003,3012
07/2003,4605
08/2003,4261
09/2003,3620
10/2003,3419
11/2003,2856
12/2003,2717
01/2004,2155
02/2004,2045
03/2004,2508
04/2004,2398
05/2004,2732
06/2004,3116
07/2004,4649
08/2004,4517
09/2004,3642
10/2004,3440
11/2004,2572
12/2004,2098
01/2005,1724
02/2005,1668
03/2005,1890
04/2005,2188
05/2005,2300
06/2005,2525
07/2005,3276
08/2005,3214
09/2005,2656
10/2005,2519
11/2005,2236
12/2005,1724
01/2006,2103
02/2006,1607
03/2006,1956
04/2006,2167
05/2006,2262
06/2006,2440
07/2006,3180
08/2006,2903
09/2006,2431
10/2006,2319
11/2006,2059
12/2006,1756
01/2007,1757
02/2007,1245
03/2007,1860
04/2007,1879
05/2007,2181
06/2007,2397
07/2007,2864
08/2007,2649
09/2007,2291
10/2007,2469
11/2007,1933
12/2007,1714
01/2008,1725
02/2008,1375
03/2008,1701
04/2008,1950
05/2008,2047
06/2008,2352
07/2008,2911
08/2008,2765
09/2008,2496
10/2008,2410
11/2008,2025
12/2008,1640
01/2009,1571
02/2009,1462
03/2009,1888
04/2009,1940
05/2009,2148
06/2009,2055
07/2009,2582
08/2009,2529
09/2009,2247
10/2009,2162
11/2009,2002
12/2009,1630
01/2010,1740
02/2010,1389
03/2010,1851
04/2010,1924
05/2010,2140
06/2010,2255
07/2010,2546
08/2010,2606
09/2010,2370
10/2010,2220
11/2010,1974
12/2010,1620
01/2011,1689
02/2011,1578
03/2011,2134
04/2011,2197
05/2011,2587
06/2011,2811
07/2011,3100
08/2011,3072
09/2011,2633
10/2011,2613
11/2011,2356
12/2011,2229
01/2012,1974
02/2012,1694
03/2012,2287
04/2012,2421
05/2012,2567
06/2012,2949
07/2012,3114
08/2012,2999
09/2012,2705
10/2012,2381
11/2012,2217
12/2012,2225
01/2013,1978
02/2013,1507
03/2013,1873
04/2013,1987
05/2013,2532
06/2013,2460
07/2013,3006
08/2013,3089
09/2013,2732
10/2013,2454
11/2013,2281
12/2013,2002
01/2014,1853
02/2014,1654
03/2014,1991
04/2014,2296
05/2014,2402
06/2014,2763
07/2014,3194
08/2014,2905
09/2014,2720
10/2014,2677
11/2014,2072
12/2014,2333
01/2015,2101
02/2015,1406
03/2015,1896
04/2015,1870
05/2015,2225
06/2015,2194
07/2015,2410
08/2015,2481
09/2015,2169
10/2015,2090
11/2015,1826
12/2015,2000
01/2016,1792
02/2016,1522
03/2016,1726
04/2016,1713
05/2016,1940
06/2016,2188
07/2016,2460
08/2016,2530
09/2016,2405
10/2016,2201
11/2016,1990
12/2016,1810
01/2017,1908
02/2017,1627
03/2017,1630
04/2017,1722
05/2017,2043
06/2017,2251
07/2017,2473
08/2017,2440
09/2017,2105
10/2017,2200
11/2017,2077
12/2017,2014
01/2018,1792
02/2018,1400
03/2018,1735
04/2018,1849
05/2018,2211
06/2018,2270
